timestamp,mode,direction,total,bits,raw_samples
2026-03-08T10:27:53.237524,RANDOM,UP,5816,1000000,4036718
2026-03-08T10:32:32.108452,MANUAL,NONE,-5436,1000000,4035022
2026-03-08T10:37:09.178858,MANUAL,NONE,-7028,1000000,4033672
2026-03-08T10:41:57.745082,MANUAL,NONE,-7496,1000000,3997816
2026-03-08T23:05:10.449459,MANUAL,NONE,-7260,1000000,3996698
2026-03-08T23:11:02.596537,RANDOM,DOWN,-2568,1000000,4020358
2026-03-08T23:20:39.251185,RANDOM,UP,6310,1000000,3989240
2026-03-08T23:25:19.759580,MANUAL,NONE,-6174,1000000,4030640
2026-03-08T23:31:12.683499,RANDOM,DOWN,-2826,1000000,3983936
2026-03-08T23:38:10.408817,MANUAL,NONE,-5266,1000000,4016474
2026-03-08T23:44:01.702559,MANUAL,NONE,-3944,1000000,4003254
2026-03-08T23:55:40.025802,RANDOM,UP,6774,1000000,4032506
2026-03-09T00:02:34.839716,RANDOM,UP,7608,1000000,4035300
2026-03-09T00:07:23.982929,RANDOM,DOWN,-1926,1000000,4050850
2026-03-09T07:48:50.531619,MANUAL,NONE,-2714,1000000,4004952
2026-03-09T07:53:56.576838,MANUAL,NONE,-3638,1000000,3987372
2026-03-09T22:10:03.679877,RANDOM,DOWN,-2390,1000000,4015360
2026-03-09T22:15:06.192704,RANDOM,UP,9508,1000000,4018262
2026-03-09T22:19:42.115483,RANDOM,DOWN,-1662,1000000,4024842
2026-03-09T22:24:15.484319,RANDOM,DOWN,-2634,1000000,4044260
2026-03-09T22:29:52.995890,RANDOM,DOWN,-3102,1000000,4018120
2026-03-09T22:35:07.130717,RANDOM,DOWN,-4014,1000000,4003502
2026-03-09T22:39:50.207572,RANDOM,DOWN,-2112,1000000,4004760
2026-03-09T22:44:22.827258,RANDOM,UP,12174,1000000,4034592
2026-03-09T22:48:57.584292,RANDOM,UP,13484,1000000,4021962
2026-03-09T22:53:45.414391,RANDOM,UP,14010,1000000,4015610
2026-03-09T22:58:17.645375,RANDOM,UP,14128,1000000,4020476
2026-03-09T23:02:57.363487,RANDOM,UP,13622,1000000,3997782
2026-03-09T23:07:37.094429,RANDOM,UP,12292,1000000,4050104
2026-03-09T23:12:29.047024,RANDOM,DOWN,170,1000000,4008402
2026-03-09T23:17:01.719487,RANDOM,UP,13232,1000000,4023540
2026-03-09T23:21:35.351965,RANDOM,DOWN,300,1000000,4052000
2026-03-09T23:26:05.451960,RANDOM,UP,14034,1000000,4007246
2026-03-09T23:32:22.676096,RANDOM,DOWN,1444,1000000,4001754
2026-03-09T23:36:55.655451,RANDOM,DOWN,48,1000000,3990200
2026-03-09T23:41:38.875438,RANDOM,UP,14868,1000000,3993810
2026-03-09T23:46:14.885649,RANDOM,UP,14712,1000000,4009504
2026-03-09T23:50:46.383297,RANDOM,UP,15518,1000000,4008962
2026-03-09T23:55:40.714970,RANDOM,DOWN,-516,1000000,3991944
2026-03-10T00:00:35.893029,RANDOM,DOWN,758,1000000,3996366
2026-03-10T00:08:56.729946,RANDOM,DOWN,-1024,1000000,4025376
2026-03-10T00:15:43.490525,RANDOM,UP,18206,1000000,3993128
2026-03-10T00:20:27.904776,RANDOM,DOWN,-126,1000000,4015592
2026-03-10T00:28:14.636994,RANDOM,UP,18174,1000000,3998458
2026-03-10T00:36:45.623067,RANDOM,UP,16602,1000000,3991170
2026-03-10T00:41:28.292655,MANUAL,NONE,-4460,1000000,4016322
2026-03-10T02:07:15.078793,MANUAL,NONE,-4700,1000000,3996550
2026-03-10T02:35:44.435454,MANUAL,NONE,-5020,1000000,3998646
2026-03-10T13:37:21.509240,RANDOM,DOWN,-216,1000000,4025172
2026-03-10T13:41:56.643274,MANUAL,NONE,-3428,1000000,4031862
2026-03-10T13:48:34.459700,MANUAL,NONE,-5996,1000000,3984970
2026-03-10T13:58:10.221206,MANUAL,NONE,-4336,1000000,3991738
2026-03-10T14:06:22.640401,MANUAL,NONE,-4604,1000000,4010386
2026-03-10T14:10:56.567261,MANUAL,NONE,-4372,1000000,4016914
2026-03-10T14:19:00.594933,MANUAL,NONE,-5766,1000000,3992824
2026-03-10T14:29:40.033036,MANUAL,NONE,-4808,1000000,4032452
2026-03-10T14:43:57.086036,RANDOM,UP,16922,1000000,4001338
2026-03-10T14:54:14.514777,MANUAL,NONE,-5280,1000000,4015568
2026-03-10T14:59:42.696090,MANUAL,NONE,-3346,1000000,3997352
2026-03-10T15:04:41.805539,MANUAL,NONE,-3388,1000000,4000246
2026-03-10T15:10:21.466759,MANUAL,NONE,-3028,1000000,3986080
2026-03-10T15:15:54.264546,MANUAL,NONE,-4234,1000000,4016296
2026-03-10T15:34:20.726114,MANUAL,NONE,-2852,1000000,3994184
2026-03-10T15:45:30.881310,MANUAL,NONE,-2100,1000000,4000144
2026-03-10T15:52:49.546003,RANDOM,UP,16508,1000000,3979972
2026-03-10T15:57:56.121123,RANDOM,UP,17720,1000000,4000542
2026-03-10T16:02:32.540041,RANDOM,UP,17090,1000000,4012322
2026-03-10T16:08:26.702615,RANDOM,DOWN,580,1000000,4032132
2026-03-10T16:15:10.501707,RANDOM,UP,17862,1000000,3975932
2026-03-10T16:19:41.830266,RANDOM,DOWN,1040,1000000,3995256
2026-03-10T16:24:13.559577,RANDOM,UP,18158,1000000,3992458
2026-03-10T16:28:46.356385,RANDOM,DOWN,1106,1000000,3985904
2026-03-10T16:33:21.432985,RANDOM,UP,18008,1000000,3985070
2026-03-10T16:38:24.509638,RANDOM,UP,17064,1000000,4019586
2026-03-10T16:43:37.868410,RANDOM,UP,19402,1000000,3974552
2026-03-10T16:48:46.370949,RANDOM,DOWN,1036,1000000,4013520
2026-03-10T16:53:42.548684,RANDOM,DOWN,1978,1000000,4023986
2026-03-10T16:58:27.101663,RANDOM,UP,19450,1000000,4021206
2026-03-10T17:03:00.620326,MANUAL,NONE,-3740,1000000,4007180
2026-03-10T17:08:09.136569,MANUAL,NONE,-3852,1000000,4021682
2026-03-10T17:54:17.846674,MANUAL,NONE,-4726,1000000,4009636
2026-03-10T17:58:56.049621,MANUAL,NONE,-4594,1000000,4038744
2026-03-10T18:21:24.176632,MANUAL,NONE,-4368,1000000,4015562
2026-03-10T18:39:38.205506,MANUAL,NONE,-6032,1000000,3975954
2026-03-10T19:16:22.646735,MANUAL,NONE,-6612,1000000,4029764
2026-03-10T19:23:47.931561,MANUAL,NONE,-5204,1000000,4013312
2026-03-10T19:40:36.450329,RANDOM,DOWN,2558,1000000,3978030
2026-03-10T19:46:24.436129,MANUAL,NONE,-7188,1000000,4005264
2026-03-10T19:50:53.274065,RANDOM,UP,19188,1000000,3996228
2026-03-10T20:00:01.189806,RANDOM,DOWN,4496,1000000,4022014
2026-03-10T20:04:31.028373,RANDOM,DOWN,3958,1000000,3999130
2026-03-10T20:09:02.786984,RANDOM,UP,19050,1000000,3993980
2026-03-10T20:26:27.558038,RANDOM,UP,18416,1000000,4023730
2026-03-10T20:31:03.336842,MANUAL,NONE,-5854,1000000,3990738
2026-03-10T20:36:03.071811,MANUAL,NONE,-7368,1000000,3980516
2026-03-10T20:42:28.498144,RANDOM,UP,18302,1000000,4011042
2026-03-10T20:47:04.969254,MANUAL,NONE,-7000,1000000,3986314
2026-03-10T20:52:28.169089,MANUAL,NONE,-8300,1000000,3980524
2026-03-10T21:12:02.331454,RANDOM,UP,19510,1000000,4006198
